artist,album,release_date,track_name,track_number,duration_ms
TLC,3D,2002-10-10,Give It to Me While It's Hot,13,208026
TLC,Fanmail,1999-02-23,FanMail,1,239333
TLC,Fanmail,1999-02-23,The Vic-E Interpretation - Interlude - Dirty Version,2,18973
TLC,Fanmail,1999-02-23,Silly Ho,3,255160
TLC,Fanmail,1999-02-23,Whispering Playa - Interlude,4,52066
TLC,Fanmail,1999-02-23,No Scrubs,5,214440
TLC,Fanmail,1999-02-23,I'm Good at Being Bad,6,277693
TLC,Fanmail,1999-02-23,If They Knew,7,244200
TLC,Fanmail,1999-02-23,I Miss You So Much,8,296600
TLC,Fanmail,1999-02-23,Unpretty,9,278000
TLC,Fanmail,1999-02-23,My Life,10,241800
TLC,Fanmail,1999-02-23,Shout,11,237640
TLC,Fanmail,1999-02-23,Come On Down,12,257266
TLC,Fanmail,1999-02-23,Dear Lie,13,310760
TLC,Fanmail,1999-02-23,Communicate - Interlude,14,51733
TLC,Fanmail,1999-02-23,Lovesick,15,232933
TLC,Fanmail,1999-02-23,Automatic,16,271400
TLC,Fanmail,1999-02-23,Don't Pull Out on Me Yet,17,273533
TLC,Crazysexycool,1994-11-15,Intro-Iude,1,62773
TLC,Crazysexycool,1994-11-15,Creep,2,268533
TLC,Crazysexycool,1994-11-15,Kick Your Game,3,254133
TLC,Crazysexycool,1994-11-15,Diggin' On You,4,254560
TLC,Crazysexycool,1994-11-15,Case of the Fake People,5,244600
TLC,Crazysexycool,1994-11-15,CrazySexyCool-Interlude,6,102173
TLC,Crazysexycool,1994-11-15,Red Light Special,7,303960
TLC,Crazysexycool,1994-11-15,Waterfalls,8,279506
TLC,Crazysexycool,1994-11-15,Intermission-lude,9,42693
TLC,Crazysexycool,1994-11-15,Let's Do it Again,10,256493
TLC,Crazysexycool,1994-11-15,If I Was Your Girlfriend,11,276733
TLC,Crazysexycool,1994-11-15,Sexy-Interlude,12,94866
TLC,Crazysexycool,1994-11-15,Take Our Time,13,274000
TLC,Crazysexycool,1994-11-15,Can I Get a Witness-Interlude,14,177066
TLC,Crazysexycool,1994-11-15,Switch,15,210533
TLC,Crazysexycool,1994-11-15,Sumthin' Wicked This Way Comes,16,268200
TLC,Ooooooohhh... On The TLC Tip,1992-02-25,Intro,1,30866
TLC,Ooooooohhh... On The TLC Tip,1992-02-25,Ain't 2 Proud 2 Beg,2,336560
TLC,Ooooooohhh... On The TLC Tip,1992-02-25,Shock Dat Monkey,3,308573
TLC,Ooooooohhh... On The TLC Tip,1992-02-25,Intermission I,4,19199
TLC,Ooooooohhh... On The TLC Tip,1992-02-25,Hat 2 da Back,5,256426
TLC,Ooooooohhh... On The TLC Tip,1992-02-25,Das Da Way We Like 'Em,6,301733
TLC,Ooooooohhh... On The TLC Tip,1992-02-25,What About Your Friends,7,293600
TLC,Ooooooohhh... On The TLC Tip,1992-02-25,His Story,8,263000
TLC,Ooooooohhh... On The TLC Tip,1992-02-25,Intermission II,9,59666
TLC,Ooooooohhh... On The TLC Tip,1992-02-25,Bad By Myself,10,235933
TLC,Ooooooohhh... On The TLC Tip,1992-02-25,Somethin' You Wanna Know,11,342440
TLC,Ooooooohhh... On The TLC Tip,1992-02-25,Baby-Baby-Baby,12,315040
TLC,Ooooooohhh... On The TLC Tip,1992-02-25,This Is How It Should Be Done,13,267933
TLC,Ooooooohhh... On The TLC Tip,1992-02-25,Depend on Myself,14,251066
TLC,Ooooooohhh... On The TLC Tip,1992-02-25,Conclusion,15,49000
Destiny's Child,Destiny's Child: The Untold Story Presents Girls Tyme,2026-03-06,God Bless the Child (Intro),1,74698
Destiny's Child,Destiny's Child: The Untold Story Presents Girls Tyme,2026-03-06,I Wanna Be Where You Are,2,243095
