artist,album,release_date,track_name,track_number,duration_ms,duration_minutes,release_year
Destiny's Child,Destiny's Child: The Untold Story Presents Girls Tyme,2026-03-06,Boyfriend,8,259924,4.33,2026.0
Destiny's Child,Destiny's Child: The Untold Story Presents Girls Tyme,2026-03-06,Teacher Fried My Brain,9,255233,4.25,2026.0
Destiny's Child,Destiny's Child: The Untold Story Presents Girls Tyme,2026-03-06,When I Laid My Eyes On You,10,185016,3.08,2026.0
Destiny's Child,Destiny's Child: The Untold Story Presents Girls Tyme,2026-03-06,In My City,11,247431,4.12,2026.0
Destiny's Child,Destiny's Child: The Untold Story Presents Girls Tyme,2026-03-06,Hip House,12,201049,3.35,2026.0
Destiny's Child,Destiny's Child: The Untold Story Presents Girls Tyme,2026-03-06,Blue Velvet,13,232571,3.88,2026.0
Destiny's Child,Destiny's Child: The Untold Story Presents Girls Tyme,2026-03-06,Take Em 2 Another Level,14,210419,3.51,2026.0
Destiny's Child,Destiny's Child: The Untold Story Presents Girls Tyme,2026-03-06,Talking 'Bout My Baby,15,205357,3.42,2026.0
Destiny's Child,Destiny Fulfilled,2004-11-16,Lose My Breath,1,242013,4.03,2004.0
Destiny's Child,Destiny Fulfilled,2004-11-16,Soldier (feat. T.I. & Lil' Wayne),2,325573,5.43,2004.0
Destiny's Child,Destiny Fulfilled,2004-11-16,Cater 2 U,3,245400,4.09,2004.0
Destiny's Child,Destiny Fulfilled,2004-11-16,T-Shirt,4,280200,4.67,2004.0
Destiny's Child,Destiny Fulfilled,2004-11-16,Is She The Reason,5,286773,4.78,2004.0
Destiny's Child,Destiny Fulfilled,2004-11-16,Girl,6,224146,3.74,2004.0
Destiny's Child,Destiny Fulfilled,2004-11-16,Bad Habit,7,234706,3.91,2004.0
Destiny's Child,Destiny Fulfilled,2004-11-16,If,8,255880,4.26,2004.0
Destiny's Child,Destiny Fulfilled,2004-11-16,Free,9,291706,4.86,2004.0
Destiny's Child,Destiny Fulfilled,2004-11-16,Through With Love,10,215493,3.59,2004.0
Destiny's Child,Destiny Fulfilled,2004-11-16,Love,11,270146,4.5,2004.0
Destiny's Child,8 Days of Christmas (Deluxe Version),2001-10-30,Home For The Holidays,1,190200,3.17,2001.0
Destiny's Child,8 Days of Christmas (Deluxe Version),2001-10-30,Rudolph The Red-Nosed Reindeer - Single Version,2,151200,2.52,2001.0
Destiny's Child,8 Days of Christmas (Deluxe Version),2001-10-30,8 Days of Christmas,3,209373,3.49,2001.0
Destiny's Child,8 Days of Christmas (Deluxe Version),2001-10-30,Winter Paradise,4,216200,3.6,2001.0
Destiny's Child,8 Days of Christmas (Deluxe Version),2001-10-30,"A ""DC"" Christmas Medley",5,239360,3.99,2001.0
Destiny's Child,8 Days of Christmas (Deluxe Version),2001-10-30,Silent Night (feat. Beyoncé Knowles),6,221360,3.69,2001.0
Destiny's Child,8 Days of Christmas (Deluxe Version),2001-10-30,Little Drummer Boy (feat. Solange),7,216066,3.6,2001.0
Destiny's Child,8 Days of Christmas (Deluxe Version),2001-10-30,Do You Hear What I Hear? (feat. Kelly Rowland),8,227160,3.79,2001.0
Destiny's Child,8 Days of Christmas (Deluxe Version),2001-10-30,White Christmas,9,103000,1.72,2001.0
Destiny's Child,8 Days of Christmas (Deluxe Version),2001-10-30,Platinum Bells,10,85000,1.42,2001.0
Destiny's Child,8 Days of Christmas (Deluxe Version),2001-10-30,O' Holy Night (feat. Michelle Williams),11,263666,4.39,2001.0
Destiny's Child,8 Days of Christmas (Deluxe Version),2001-10-30,Spread a Little Love On Christmas Day,12,221133,3.69,2001.0
Destiny's Child,8 Days of Christmas (Deluxe Version),2001-10-30,This Christmas,13,218160,3.64,2001.0
Destiny's Child,8 Days of Christmas (Deluxe Version),2001-10-30,Carol of the Bells a.k.a Opera of the Bells,14,274973,4.58,2001.0
Destiny's Child,Survivor,2001-05-01,"Independent Women, Pt. 1",1,221626,3.69,2001.0
Destiny's Child,Survivor,2001-05-01,Survivor,2,254040,4.23,2001.0
Destiny's Child,Survivor,2001-05-01,Bootylicious,3,207733,3.46,2001.0
Destiny's Child,Survivor,2001-05-01,Nasty Girl,4,257826,4.3,2001.0
Destiny's Child,Survivor,2001-05-01,Fancy,5,252973,4.22,2001.0
Destiny's Child,Survivor,2001-05-01,Apple Pie À La Mode,6,178533,2.98,2001.0
Destiny's Child,Survivor,2001-05-01,Sexy Daddy,7,246826,4.11,2001.0
Destiny's Child,Survivor,2001-05-01,Perfect Man,8,221840,3.7,2001.0
Destiny's Child,Survivor,2001-05-01,Independent Women Pt. II,9,225933,3.77,2001.0
Destiny's Child,Survivor,2001-05-01,Happy Face,10,259866,4.33,2001.0
Destiny's Child,Survivor,2001-05-01,Dance With Me,11,223960,3.73,2001.0
Destiny's Child,Survivor,2001-05-01,My Heart Still Beats - Featuring Beyoncé,12,248106,4.14,2001.0
